ID	ALIGNMENT	COGIDS	CONCEPT	CONCEPTICON	DOCULECT	FORM	MORPHEMES	SUBGROUP	TOKENS	VALUE	BORIDS	PATIDS	NOTE
14422	i l e ts a h	7459	Jacaratia corumbensis	None	Wichi	Iletsaj		Matacoan	i l e ts a h	Iletsaj	None	None	
14423	i l e ts a h + h w a h	7459 8195	Jacaratia corumbensis	None	Wichi	Iletsaj+jwaj	little	Matacoan	i l e ts a h + h w a h	Iletsaj+jwaj	None	None	
14424	w o s a + tʔ o k w + i t + e q	4547 4548 3065 3745	Maytenus scutioides	None	Wichi	Wosa+t’okw+it+eq	some_bee flower ? ?	Matacoan	w o s a + tʔ o k w + i t + e q	Wosa+t’okw+it+eq	None	None	
14425	h o t a n t a s	8196	Croton hieronymi	None	Wichi	Hotantas		Matacoan	h o t a n t a s	Hotantas	None	None	
14426	k w e j ei + t a s	8197 7312	Jatropha excisa	None	Wichi	Kweyey+tas	arms _:anomalous	Matacoan	k w e j ei + t a s	Kweyey+tas	None	None	
14427	t a ts u k w i t a h	8198	Jatropha excisa	None	Wichi	Tatsukwitaj		Matacoan	t a ts u k w i t a h	Tatsukwitaj	None	None	
14428	k w e j ei + t a s	8197 7312	Jatropha grossidentata	None	Wichi	Kweyey+tas	arms _:anomalous	Matacoan	k w e j ei + t a s	Kweyey+tas	None	None	
14429	t a ts u k w i t a h	8199	Jatropha hieronymi	None	Wichi	Tatsukwitaj		Matacoan	t a ts u k w i t a h	Tatsukwitaj	None	None	
14430	k w e j ei + t a s	8197 7312	Jatropha macrocarpa	None	Wichi	Kweyey+tas	arms _:anomalous	Matacoan	k w e j ei + t a s	Kweyey+tas	None	None	
14431	k w a t a h	8200	Manihot guaranitica	None	Wichi	Kwataj		Matacoan	k w a t a h	Kwataj	None	None	
14432	e t e q + oi t a + h i + t a s	1701 8201 2283 7312	Ricinus communis	None	Wichi	Eteq+oyta+hi+tas	head ache _:loc _:anomalous	Matacoan	e t e q + oi t a + h i + t a s	eteq oyta hitas	None	None	
14433	p e ɬ ai + ɬ i tʃ j ei	8202 8203	Ricinus communis	None	Wichi	pelhay+lhichyey	storm plant	Matacoan	p e ɬ ai + ɬ i tʃ j ei	pelhay lhichyey	None	None	I haven't found the word lhichyey anywhere else
14434	s a - t - - - + e k w	7620 8187	Sapium haematospermum	None	Wichi	Sat+ekw	_:tree	Matacoan	s a t + e k w	Sat+ekw	None	None	
14435	m a w u + lˠ + o q	4573 4063 6081	Acacia aroma	None	Wichi	Mawu+lh+oq	fox _:pos food	Matacoan	m a w u + lˠ + o q	Mawu+lh+oq	None	None	
14436	n a t + e q	8204 8205	Acacia aroma	None	Wichi	Nat+eq		Matacoan	n a t + e q	Nat+eq	None	None	
14437	q ai l a + lˠ + o q	5639 4063 6081	Acacia aroma	None	Wichi	Qayla+lh+oq	goat _:pos food	Matacoan	q ai l a + lˠ + o q	Qayla+lh+oq	None	None	
14438	n a tʃ i t + - - - - - - e q	8206 7615	Acacia caven	None	Wichi	Nachit+eq		Matacoan	n a tʃ i t + e q	Nachit+eq	None	None	
14439	i n e lˠ - + e q	8207 8208	Acacia gilliesi	None	Wichi	Inelh+eq		Matacoan	i n e lˠ + e q	Inelh+eq	None	None	
14440	- n e lˠ u	8207	Acacia gilliesi	None	Wichi	nelhu		Matacoan	n e lˠ u	nelhu	None	None	
14441	ts u t e + l u s	8209 8210	Acacia gilliesi	None	Wichi	Tsute+lus	tooth two	Matacoan	ts u t e + l u s	Tsute+lus	None	None	
14442	h e t e n + e k w	4111 8187	Acacia praecox	None	Wichi	Heten+ekw	_:tree	Matacoan	h e t e n + e k w	Heten+ekw	None	None	
14443	w a - - t u h w	739	Albizia inundata	None	Wichi	Watujw		Matacoan	w a t u h w	Watujw	None	None	
14444	h a t a h	8211	Anadenanthera colubrina (var. cebil)	None	Wichi	Hataj		Matacoan	h a t a h	Hataj	None	None	
14445	s i pˀ i l + t a s	8212 7312	Bauhinia argentinensis	None	Wichi	Sip’il+tas	Sip'il _:false	Matacoan	s i pˀ i l + t a s	Sip’iltas	None	None	
14446	m a w u + q a + fʷ a ʔ ai	4573 8213 8214	Bauhinia argentinensis	None	Wichi	mawu+ka+jwa'ay	fox _:classif algarroba	Matacoan	m a w u + q a + fʷ a ʔ ai	mawu ka jwa'ay	None	None	
14447	t u l u + p a j u	8215 8216	Bauhinia argentinensis	None	Wichi	Tulu+payu	bull foot	Matacoan	t u l u + p a j u	Tulu payu	None	None	Thus translated by Suárez. We haven't found the word 'payu'
14448	w e j i s + p a j u + l	8217 8216 8218	Bauhinia argentinensis	None	Wichi	Weyis+payu+l	ox foot _:pl	Matacoan	w e j i s + p a j u + l	Weyis payul	None	None	
14449	w o tʃ ʔ oi + e k w	7633 8187	Caesalpinia paraguariensis	None	Wichi	Woch’oy+ekw	_:tree	Matacoan	w o tʃ ʔ oi + e k w	Woch’oy+ekw	None	None	
14450	q a t e k w e t a h + tʃ o lˠ ts a h	948 949	Caesalpinia stuckerti	None	Wichi	Qatekwetaj+cholhtsaj	rattlesnake rattle	Matacoan	q a t e k w e t a h + tʃ o lˠ ts a h	Qatekwetaj+cholhtsaj	None	None	
14451	a s n a h + lˠ + o q	8219 4063 6081	Cercidium praecox	None	Wichi	Asnaj+lh+oq	partridge _:pos food	Matacoan	a s n a h + lˠ + o q	Asnaj+lh+oq	None	None	
14452	w a t u h - w	7758	Enterolobium contortisiliquum	None	Wichi	Watujw		Matacoan	w a t u h w	Watujw	None	None	
14453	w o tʃ ʔ oi + t a h	7758 7366	Enterolobium contortisiliquum	None	Wichi	Woch’oy+taj	_:aum	Matacoan	w o tʃ ʔ oi + t a h	Woch’oy+taj	None	None	
14454	w o tʃ ʔ oi + e k w	7758 8187	Enterolobium contortisiliquum	None	Wichi	Woch’oy+ekw	_:tree	Matacoan	w o tʃ ʔ oi + e k w	Woch’oy+ekw	None	None	
14455	n ai n + e q	8220 7259	Erythrina dominguezii	None	Wichi	Nayn+eq		Matacoan	n ai n + e q	Nayn+eq	None	None	
14456	l e ts e n e k w	7584	Geoffroea decorticans	None	Wichi	Letsenekw		Matacoan	l e ts e n e k w	Letsenekw	None	None	
14457	t a n i + k w e j ei	8221 8197	Lophocarpinia aculeatifolia	None	Wichi	Tani+kweyey	turtle arms	Matacoan	t a n i + k w e j ei	Tani+kweyey	None	None	
14458	n o tʔ o t + q a + h a l oi	6488 3242 8222	Mimosa detinens	None	Wichi	Not’ot+qa+haloy	? tree	Matacoan	n o tʔ o t + q a + h a l oi	Not’ot+qa+haloy	None	None	
14459	ts u t e + l u s	8209 8210	Mimosa detinens	None	Wichi	Tsute+lus	tooth two	Matacoan	ts u t e + l u s	Tsute+lus	None	None	
14460	- - h e t e n - - - + e k w	1247 8187	Mimosa detinens	None	Wichi	heten+ekw	_:tree	Matacoan	h e t e n + e k w	heten+ekw	None	None	
14461	l o - - - t - - - e q	7415	Mimozyganthus carinatus	None	Wichi	Loteq		Matacoan	l o t e q	Loteq	None	None	
14462	a s n a h + lˠ + o q -	8219 4063 6081	Parkinsonia aculeata	None	Wichi	Asnaj+lh+oq	partridge _:pos food	Matacoan	a s n a h + lˠ + o q	Asnaj+lh+oq	None	None	
14463	j e - - - t u k	6474	Parkinsonia aculeata	None	Wichi	yetuk		Matacoan	j e t u k	yetuk	None	None	
14464	q a h - - - - + e k w	4032 8187	Parkinsonia aculeata	None	Wichi	Qaj+ekw	_:tree	Matacoan	q a h + e k w	Qaj+ekw	None	None	
14465	h o ʔ o + ɬ + - - - - - - o q	8223 796 6081	Prosopis alba	None	Wichi	Ho’o+lh+oq	chicken _:poss food	Matacoan	h o ʔ o + ɬ + o q	ho’o lhoq	None	None	
14466	fʷ a ʔ a + j e kʷ	7992 8224	Prosopis alba	None	Wichi	Jwa’a+yekw	algarroba _:tree	Matacoan	fʷ a ʔ a + j e kʷ	jwa’ajyekw	None	None	
14467	fʷ a ʔ ai + t a s	7992 7312	Prosopis alba	None	Wichi	Jwa’ay+tas	algarroba _:anomalous	Matacoan	fʷ a ʔ ai + t a s	jwa’aytas	None	None	
14468	w o n̥ o ʔ	7992	Prosopis alba	None	Wichi	Wojno’		Matacoan	w o n̥ o ʔ	Wojno’	None	None	
14469	tʃ i t e t + e q	8225 8226	Prosopis elata	None	Wichi	Chitet+eq		Matacoan	tʃ i t e t + e q	Chitet+eq	None	None	
14470	n o t e + lˠ + o q	8227 4063 6081	Prosopis elata	None	Wichi	note+lh+oq	rabbit _:pos food	Matacoan	n o t e + lˠ + o q	note+lh+oq	None	None	
14471	h o ʔ o + lˠ + o q -	8223 4063 6081	Prosopis nigra	None	Wichi	Ho’o+lh+oq	chicken _:pos food	Matacoan	h o ʔ o + lˠ + o q	Ho’o+lh+oq	None	None	
14472	w i n - - - - - u - - k	6991	Prosopis nigra	None	Wichi	winuk		Matacoan	w i n u k	winuk	None	None	
14473	w o s - - - - - o - - tʃ + e k w	6991 8187	Prosopis nigra	None	Wichi	Wosoch+ekw	_:tree	Matacoan	w o s o tʃ + e k w	Wosoch+ekw	None	None	
14474	i n + o k w	1997 2445	Prosopis nuda	None	Wichi	In+okw		Matacoan	i n + o k w	In+okw	None	None	
14475	- a - t + e k w	4229 8187	Prosopis ruscifolia	None	Wichi	At+ekw	_:tree	Matacoan	a t + e k w	At+ekw	None	None	
14476	i n + o k w	8228 8229	Prosopis sericantha	None	Wichi	In+okw		Matacoan	i n + o k w	In+okw	None	None	
14477	p i tʃ a n a + t a - - q	8230 7312	Prosopis sericantha	None	Wichi	Pichana+taq	_:anomalous	Matacoan	p i tʃ a n a + t a q	Pichana+taq	None	None	
14478	q ai l a + p o s ei	413 414	Prosopis sericantha	None	Wichi	Qayla+posey	goat beard	Matacoan	q ai l a + p o s ei	Qayla+posey	None	None	
14479	w e s a h t + e k w	3654 8187	Pterogyne nitens	None	Wichi	Wesajt+ekw	_:tree	Matacoan	w e s a h t + e k w	Wesajt+ekw	None	None	
14480	h w e lˠ e k + lˠ - - - i l e -	8231 979	Pterogyne nitens	None	Wichi	jwelhek+lhile	plant	Matacoan	h w e lˠ e k + lˠ i l e	jwelhek+lhile	None	None	
14481	a m ɬ o χ + ɬ a w a j u q	8232 8233	Senna chloroclada	None	Wichi	Amlhoj+lhawayuq	snake hammock	Matacoan	a m ɬ o χ + ɬ a w a j u q	amlhoj lhawayuq	None	None	
14482	q ai l a + p o s ei	413 414	Senna chloroclada	None	Wichi	Qayla+posey	goat beard	Matacoan	q ai l a + p o s ei	qayla posey	None	None	
14483	- j e l a t a + ɬ a m t e s	8234 8235	Senna chloroclada	None	Wichi	Yelata+lhamtes	horse words	Matacoan	j e l a t a + ɬ a m t e s	yelata lhamtes	None	None	
14484	m a w u + ɬ + o q	4573 796 6081	Senna pendula var. eriocarpa	None	Wichi	Mawu+lh+oq	fox _:poss food	Matacoan	m a w u + ɬ + o q	mawu lhoq	None	None	
14485	n a tʃ i + j e k w	8236 8237	Struthanthus uraguensis	None	Wichi	Nachi+yekw		Matacoan	n a tʃ i + j e k w	Nachi+yekw	None	None	
14486	n a q lˠ ei	8238	Struthanthus uraguensis	None	Wichi	Naqlhey		Matacoan	n a q lˠ ei	Naqlhey	None	None	
14487	n a tʃ - - - i + j e k w	7448 8239	Tripodanthus acutifolius	None	Wichi	Nachi+yekw		Matacoan	n a tʃ i + j e k w	Nachi+yekw	None	None	
14488	n a q lˠ ei	8240	Tripodanthus acutifolius	None	Wichi	Naqlhey		Matacoan	n a q lˠ ei	Naqlhey	None	None	
14489	h o t a + n + t a s	6481 8241 7312	Wissadula densiflora	None	Wichi	Hota+n+tas	? _:anomalous	Matacoan	h o t a + n + t a s	Hota+n+tas	None	None	
14490	h a l o + tʃ o t i	8242 2282	Maclura tinctoria ssp. mora	None	Wichi	Halo+choti	tree grandfather	Matacoan	h a l o + tʃ o t i	Halo+choti	None	None	
14491	h a l o + q a t u + h i - -	8242 2282 2283	Maclura tinctoria ssp. mora	None	Wichi	Halo+qatu+hi	tree yellow _:loc	Matacoan	h a l o + q a t u + h i	Halo+qatu+hi	None	None	
14492	h i q n + a q	2283 3230	Maclura tinctoria ssp. mora	None	Wichi	Hiqn+aq		Matacoan	h i q n + a q	Hiqn+aq	None	None	
14493	h a l o + lˠ o k w e	8242 8243	Maclura tinctoria ssp. mora	None	Wichi	Halo+lhokwe	tree big	Matacoan	h a l o + lˠ o k w e	Halo+lhokwe	None	None	
14494	tʃ e s tʃ + e k w	8244 8187	Bougainvillea praecox	None	Wichi	Chesch+ekw	_:tree	Matacoan	tʃ e s tʃ + e k w	Chesch+ekw	None	None	
14495	s o pʔ h w a + j u k w	7987 8245	Pisonia zapallo	None	Wichi	Sop’jwa+yukw		Matacoan	s o pʔ h w a + j u k w	Sop’jwa+yukw	None	None	
14496	a lˠ e + lˠ + o q -	8246 4063 6081	Ximenia americana	None	Wichi	Alhe+lh+oq	lizard _:pos food	Matacoan	a lˠ e + lˠ + o q	Alhe+lh+oq	None	None	
14497	i n e w h t + e k w	8247 8187	Ximenia americana	None	Wichi	Inewjt+ekw	_:tree	Matacoan	i n e w h t + e k w	Inewjt+ekw	None	None	
14498	s i p e p + lˠ + - - - o q	4947 4063 6081	Coccoloba spinescens	None	Wichi	Sipep+lh+oq	dove _:pos food	Matacoan	s i p e p + lˠ + o q	Sipep+lh+oq	None	None	
14499	s i t + - - - a q	7896 7897	Coccoloba spinescens	None	Wichi	Sit+aq		Matacoan	s i t + a q	Sit+aq	None	None	
14500	ts i n e k w + t a q	7644 7312	Coccoloba spinescens	None	Wichi	Tsinekw+taq	_:anomalous	Matacoan	ts i n e k w + t a q	Tsinekw+taq	None	None	
14501	ts i n e k w	3864	Ruprechtia triflora	None	Wichi	Tsinekw		Matacoan	ts i n e k w	Tsinekw	None	None	
14502	a h oi + e k w	8248 8187	Ziziphus mistol	None	Wichi	Ahoy+ekw	_:tree	Matacoan	a h oi + e k w	Ahoy+ekw	None	None	
14503	h a l o + i + p e l a - χ -	8242 8249 6065	Calycophyllum multiflorum	None	Wichi	Halo+i+pelaj	tree _:3sg white	Matacoan	h a l o + i + p e l a χ	Halo ipelaj	None	None	
14504	h a l o + ɬ o kʷ e	8242 8243	Calycophyllum multiflorum	None	Wichi	halo+lhokwe	tree big	Matacoan	h a l o + ɬ o kʷ e	halo lhokwe	None	None	'lhokwe' in Diwica means 'balde' (bucket)
14505	h a s a q	8250 5835	Calycophyllum multiflorum	None	Wichi	Has+aq		Matacoan	h a s a q	Hasaq	None	None	
14506	s i tʃ e + j e k w	2502 3173	Salix humboldtiana	None	Wichi	Siche+yekw		Matacoan	s i tʃ e + j e k w	Siche+yekw	None	None	
14507	h w i t e - - n - - + e k w	7217 8187	Acanthosyris falcata	None	Wichi	Jwiten+ekw	_:tree	Matacoan	h w i t e n + e k w	Jwiten+ekw	None	None	
14508	h i q n + a q	8251 8252	Sideroxylon obtusifolium	None	Wichi	Hiqn+aq		Matacoan	h i q n + a q	Hiqn+aq	None	None	
14509	hʷ i s qˀ o kʷ	8253 8254	Castela coccinea	None	Wichi	Jwisq’+okw		Matacoan	hʷ i s qˀ o kʷ	Jwisq’okw	None	None	
14510	p o h n o n	8255	Capsicum chacoense	None	Wichi	Pohnon		Matacoan	p o h n o n	Pohnon	None	None	
14511	t u l u + j i l e q	8215 8256	Cestrum parqui	None	Wichi	Tulu+yileq	bull dying	Matacoan	t u l u + j i l e q	Tulu+yileq	None	None	
14512	ts u h w a	4725	Lycium nodosum	None	Wichi	Tsujwa		Matacoan	ts u h w a	Tsujwa	None	None	
14513	e t e q + oi t a + h i	1701 8201 2283	Nicotiana glauca	None	Wichi	Eteq+oyta+hi	_:head ache _:loc	Matacoan	e t e q + oi t a + h i	Eteq+oyta+hi	None	None	
14514	e t e q + oi t a + h i + t a h	1701 8201 2283 7366	Nicotiana glauca	None	Wichi	Eteq+oyta+hi+taj	_:head ache _:loc _:aum	Matacoan	e t e q + oi t a + h i + t a h	Eteq+oyta+hi+taj	None	None	
14515	o l a χ t a q	1197 7312	Solanum amygdalifolium	None	Wichi	olajtaq		Matacoan	o l a χ t a q	Olajtaq	None	None	
14516	n i tʃ a χ + qˀ o s	8257 8258	Solanum argentinum	None	Wichi	Nichaj+q’os	boar crop	Matacoan	n i tʃ a χ + qˀ o s	nichajq’os	None	None	
14517	s i - p e p + ɬ + - - o q	4947 796 6081	Solanum argentinum	None	Wichi	Sipep+lh+oq	dove _:poss food	Matacoan	s i p e p + ɬ + o q	sipep lhoq	None	None	Sipep: leptotila verreauxi
14518	s i t o fʷ e + ɬ + o q	8257 796 6081	Solanum argentinum	None	Wichi	Sitojwe+lh+oq	charata _:poss food	Matacoan	s i t o fʷ e + ɬ + o q	sitojwe lhoq	None	None	
14519	s i t o fʷ e + t a + ɬ + o q	8257 6522 796 6081	Solanum argentinum	None	Wichi	Sitojwe+ta+lh+oq	charata _:aum _:poss food	Matacoan	s i t o fʷ e + t a + ɬ + o q	sitojweta lhoq	None	None	
14520	tʃˀ a t u kʷ	3616 4494	Solanum glaucophyllum	None	Wichi	Ch’atukw		Matacoan	tʃˀ a t u kʷ	Ch’atukw	None	None	
14521	h a l o + ɬ u kʷ e	8242 8259	Phyllostylon rhamnoides	None	Wichi	Halo+lhukwe	tree big	Matacoan	h a l o + ɬ u kʷ e	halo lhukwe	None	None	
14522	h a l o + - - q a t u + h i	8242 2282 2283	Phyllostylon rhamnoides	None	Wichi	Halo+qatu+hi	tree yellow _:loc	Matacoan	h a l o + q a t u + h i	halo qatuhi	None	None	
14523	ts e t u w o + q a + h a l oi	8260 8261 8222	Aloysia gratissima var. Gratissima	None	Wichi	Tsetuwo+qa+haloy	raven ? tree	Matacoan	ts e t u w o + q a + h a l oi	Tsetuwo+qa+haloy	None	None	
14524	h o t a n t a s	3906	Aloysia virgata	None	Wichi	Hotantas		Matacoan	h o t a n t a s	Hotantas	None	None	
14525	n a tʃ i j e kʷ	4454	Phoradendron liga	None	Wichi	Nachiyekw		Matacoan	n a tʃ i j e kʷ	Nachiyekw	None	None	
14526	n a q ɬ ei	6251	Phoradendron liga	None	Wichi	Naqlhey		Matacoan	n a q ɬ ei	Naqlhey	None	None	
14527	h u k w + l ai	8262 7331	Bulnesia bonariensis	None	Wichi	Hukw+lay		Matacoan	h u k w + l ai	Hukw+lay	None	None	
14528	h u k w + t a q	8262 7312	Bulnesia bonariensis	None	Wichi	Hukw+taq	_:anomalous	Matacoan	h u k w + t a q	Hukw+taq	None	None	
14529	h u k w + l ai	8263 8264	Bulnesia foliosa	None	Wichi	Hukw+lay		Matacoan	h u k w + l ai	Hukw+lay	None	None	
14530	h u k w + t a q	8263 7312	Bulnesia foliosa	None	Wichi	Hukw+taq	_:anomalous	Matacoan	h u k w + t a q	Hukw+taq	None	None	
14531	h u k w	8265	Bulnesia sarmientoi	None	Wichi	Hukw		Matacoan	h u k w	Hukw	None	None	
14532	h a l o + j o t ei	8242 8266	Pycnoporus sanguineus	None	Wichi	halo-yotey	tree ears	Matacoan	h a l o + j o t ei	halo-yotey	None	None	
14533	- u h n a t - + tʃ u m e t	7467 8267	Ruellia hygrophila	None	Wichi	uhnat-chumet	soil work	Matacoan	u h n a t + tʃ u m e t	uhnat-chumet	None	None	
14534	ts u n a + lˠ + o q	3089 4063 6081	Achatocarpus praecox	None	Wichi	tsuna+lhoq	deer _:pos food	Matacoan	ts u n a + lˠ + o q	tsuna+lhoq	None	None	
14535	s i t o hʷ e t a + lˠ + o q	8268 4063 6081	Achatocarpus praecox	None	Wichi	sitojweta+lhoq	charata _:pos food	Matacoan	s i t o hʷ e t a + lˠ + o q	sitojweta+lhoq	None	None	
14536	n i tʃ j o k w	6762	Funastrum clausum	None	Wichi	nichyokw		Matacoan	n i tʃ j o k w	nichyokw	None	None	
14537	a lˠ u t a h + k a - + h w a l a w u k w	8269 7940 8270	Funastrum clausum	None	Wichi	alhutaj+ka+jwalawukw	caiman ? ?	Matacoan	a lˠ u t a h + k a + h w a l a w u k w	alhutaj+ka+jwalawukw	None	None	
14538	a lˠ u t a h + lˠ o q	8269 8271	Funastrum clausum	None	Wichi	alhutaj+lhoq	caiman ?	Matacoan	a lˠ u t a h + lˠ o q	alhutaj+lhoq	None	None	
14539	n i tʃ j o k w	1648	Funastrum gracile	None	Wichi	nichyokw		Matacoan	n i tʃ j o k w	nichyokw	None	None	
14540	h w a l a w u k w + i + t a s	2249 4739 7312	Funastrum gracile	None	Wichi	jwalawukw-i-tas	? _:anomalous	Matacoan	h w a l a w u k w + i + t a s	jwalawukw-i-tas	None	None	
14541	s e l o h + m a w e t	876 8272	Funastrum gracile	None	Wichi	seloj-mäwet	bear sleeping_place	Matacoan	s e l o h + m a w e t	seloj-mäwet	None	None	
14542	- o l a h	876	Funastrum gracile	None	Wichi	olaj		Matacoan	o l a h	olaj	None	None	
14543	o + tʃ j o s	8273 6346	Mandevilla angustifolia	None	Wichi	o+chyos	_:1sg/poss chyos	Matacoan	o + tʃ j o s	o+chyos	None	None	
14544	h a j o h + k a - - - + p - o h n o n	8274 7478 7474	Mandevilla angustifolia	None	Wichi	hayoj+ka+pohnon		Matacoan	h a j o h + k a + p o h n o n	hayoj+ka+pohnon	None	None	
14545	n e - w - - - - u k	7342	Marsdenia castillonii	None	Wichi	newuk		Matacoan	n e w u k	newuk	None	None	
14546	t u j u + q a + h a l oi	8275 6908 8276	Pectis odorata	None	Wichi	tuyu-ka-haloy	skunk _:med tree	Matacoan	t u j u + q a + h a l oi	tuyu-ka-haloy	None	None	I haven't found 'tuyu' anywhere else
14547	i w o s + tʃ - j a	8277 8275	Pectis odorata	None	Wichi	iwos-chya	worm medicine	Matacoan	i w o s + tʃ j a	iwos-chya	None	None	
14548	p e n ts a χ + q a + h a l oi	7319 6908 8276	Pectis odorata	None	Wichi	pëntsaj-ka-haloy	some_bee _:med tree	Matacoan	p e n ts a χ + q a + h a l oi	pëntsaj-ka-haloy	None	None	
14549	t o l o + j i l e k	8278 8256	Xanthium spinosum	None	Wichi	tolo-yilek	bull dying	Matacoan	t o l o + j i l e k	tolo-yilek	None	None	
14550	j e l a h	8256	Xanthium spinosum	None	Wichi	yelaj		Matacoan	j e l a h	yelaj	None	None	
14551	s o pʔ + n + t a s	8279 8280 7312	Xanthium spinosum	None	Wichi	sop'a+n+tas	? _:anomalous	Matacoan	s o pʔ + n + t a s	sop'a+n+tas	None	None	
14552	n i tʃ j o k w	70	Arrabidaea truncata	None	Wichi	nichyokw		Matacoan	n i tʃ j o k w	nichyokw	None	None	
14553	l o + j u s ei	3259 8281	Arrabidaea truncata	None	Wichi	lo-yusey	tree resistant	Matacoan	l o + j u s ei	lo-yusey	None	None	
14554	- - h e l e k	3716	Tabebuia nodosa	None	Wichi	helek		Matacoan	h e l e k	helek	None	None	
14555	tʃ i ts a h	8095	Bromelia hieronymi	None	Wichi	chitsaj		Matacoan	tʃ i ts a h	chitsaj	None	None	
14556	w i j e	283	Bromelia serra	None	Wichi	wiye		Matacoan	w i j e	wiye	None	None	
14557	s ai n t a h	8282	Tillandsia streptocarpa	None	Wichi	sayntaj		Matacoan	s ai n t a h	sayntaj	None	None	
14558	h o t o n i + lˠ o - - - q	8283 7451	Tillandsia streptocarpa	None	Wichi	hotoni-lhoq		Matacoan	h o t o n i + lˠ o q	hotoni-lhoq	None	None	
14559	h o t o n i + k o h tʃ j ei	8283 8284	Tillandsia streptocarpa	None	Wichi	hotoni-kojchyey	textile_fibre	Matacoan	h o t o n i + k o h tʃ j ei	hotoni-kojchyey	None	None	
14560	h w i s t e s + kʔ o s	8285 8286	Tillandsia streptocarpa	None	Wichi	jwistes-k'os	crop	Matacoan	h w i s t e s + kʔ o s	jwistes-k'os	None	None	
14561	k a - tʃ i - l o h	7397	Cleistocactus baumannii	None	Wichi	kachiloj		Matacoan	k a tʃ i l o h	kachiloj	None	None	
14562	l e o n + tʃ j o s	6345 6346	Cleistocactus baumannii	None	Wichi	leon-chyos	lion chyos	Matacoan	l e o n + tʃ j o s	leon-chyos	None	None	
14563	- - - n a - w a χ	6102	Echinopsis rhodotricha	None	Wichi	nawaj		Matacoan	n a w a χ	nawaj	None	None	
14564	j e m u k	8287	Celtis iguanaea	None	Wichi	yemuk		Matacoan	j e m u k	yemuk	None	None	
14565	i n o t e + ɬ + o q	6826 796 ?	Commelina erecta	None	Wichi	inote-lhoq	rabbit _:poss food	Matacoan	i n o t e + ɬ + o q	inote-lhoq	None	None	
14566	m a w u + q a + fʷ a ʔ ai	4573 8006 8214	Senna morongii	None	Wichi	mawu+ka+jwa'ay	fox _:pref algarroba	Matacoan	m a w u + q a + fʷ a ʔ ai	mawu kajwa'ay	None	None	
14567	q a w̥ e + ɬ i l ei	137 652	Senna obtusifolia	None	Wichi	kajwe+lhiley	coffee plant_bone	Matacoan	q a w̥ e + ɬ i l ei	kajwe lhiley	None	None	
14568	q a w̥ e + ɬ i l ei	137 652	Senna occidentalis	None	Wichi	kajwe+lhiley	coffee plant_bone	Matacoan	q a w̥ e + ɬ i l ei	kajwe lhiley	None	None	
14569	h a l o + w a ts a n	8242 7351	Senna occidentalis	None	Wichi	halo+watsan	tree green	Matacoan	h a l o + w a ts a n	halo watsan	None	None	
14570	- w a χ s a t i	7348	Heimia salicifolia	None	Wichi	wajsati		Matacoan	w a χ s a t i	wajsati	None	None	
14571	w u j e s + lˠ o q	5050 8289	Aspicarpa sericea	None	Wichi	wuyes+lhoq	cavy ?	Matacoan	w u j e s + lˠ o q	wuyes+lhoq	None	None	
14572	j e h n u + j o t ei	8290 8266	Mascagnia brevifolia	None	Wichi	yehnu+yotey	quirquincho ears	Matacoan	j e h n u + j o t ei	yehnu+yotey	None	None	
14573	k a l a pʔ i + p o s e t	8291 4254	Craniolaria integrifolia	None	Wichi	kalap'i+poset	bandurria beard	Matacoan	k a l a pʔ i + p o s e t	kalap'i+poset	None	None	
14574	h u j e l a h	8292	Odontocarya asarifolia	None	Wichi	juyelaj		Matacoan	h u j e l a h	juyelaj	None	None	
14575	tʃ j u l ai + ɬ + o q	8293 796 ?	Boerhavia diffusa	None	Wichi	chyulai+lhoq	dove _:poss food	Matacoan	tʃ j u l ai + ɬ + o q	chyulai lhoq	None	None	'chulay'i': Columbina picui
14576	k a - t u k w	984	Cyrtopodium punctatum	None	Wichi	katukw		Matacoan	k a t u k w	katukw	None	None	
14577	w a n ɬ o χ + t i m̥ ai	8294 8295	Passiflora mooreana	None	Wichi	wanlhoj+tihmay	ostrich food	Matacoan	w a n ɬ o χ + t i m̥ ai	wanlhoj tihmay	None	None	I couldn't find 'tihmai' anywhere else
14578	t e j e + k a + h a l oi	925 6337 8222	Petiveria alliacea	None	Wichi	teye+ka+haloy	skunk ? tree	Matacoan	t e j e + k a + h a l oi	teye+ka+haloy	None	None	
14579	aː n e k	6779	Portulaca cryptopetala	None	Wichi	aanek		Matacoan	aː n e k	aanek	None	None	
14580	aː n e k	8296	Portulaca oleracea	None	Wichi	aanek		Matacoan	aː n e k	aanek	None	None	
14581	aː n e k	6780	Portulaca umbraticola	None	Wichi	aanek		Matacoan	aː n e k	aanek	None	None	
14582	aː n e k	583	Talinum fruticosum	None	Wichi	aanek		Matacoan	aː n e k	aanek	None	None	
